model,auc,mrr,ndcg5,ndcg10,recall5,recall10
static,0.9841439618205281,0.8747525554724508,0.8697285967907112,0.89507029601463,0.9002967206828463,0.981356986188138
dynamic,0.5877089850837629,0.298604421658867,0.21939186334989566,0.2785795760791813,0.2899348118916182,0.44547783111788347
