Model,AUC,MRR,NDCG@5,NDCG@10,Recall@5,Recall@10
Static Content-Based,0.605543528989113,0.3580705508230093,0.25486732494903774,0.31645494234664534,0.30957750733336775,0.47530281409725184
Dynamic Long+Short,0.5902233606539837,0.30020105302706057,0.21779253158796394,0.27839911581938,0.2819846649282465,0.43794204957912114
