Alpha,AUC,MRR,NDCG@5,NDCG@10,Recall@5,Recall@10
0.0,0.5268817204301075,0.125,0.0,0.0954604330894673,0.0,0.1666666666666666
0.0,0.4385964912280701,0.0434782608695652,0.0,0.0,0.0,0.0
0.0,0.25,0.0333333333333333,0.0,0.0,0.0,0.0
0.0,0.4788961038961039,0.25,0.1460683498427064,0.1183827929553629,0.1428571428571428,0.1428571428571428
0.0,0.5446153846153846,0.3333333333333333,0.169580102636808,0.169580102636808,0.2,0.2
0.0,0.5485232067510548,0.5,0.2960819109658652,0.2960819109658652,0.3333333333333333,0.3333333333333333
0.0,0.5769230769230769,0.5,0.3868528072345416,0.3868528072345416,0.5,0.5
0.0,0.5462962962962963,1.0,0.3903800499921017,0.3903800499921017,0.25,0.25
0.0,0.4891826923076923,0.0714285714285714,0.0,0.0,0.0,0.0
0.0,0.6212121212121212,0.1666666666666666,0.0,0.1671604549662022,0.0,0.3333333333333333
0.0,0.409090909090909,0.0909090909090909,0.0,0.0,0.0,0.0
0.0,1.0,1.0,1.0,1.0,1.0,1.0
0.0,0.3727272727272727,0.0434782608695652,0.0,0.0,0.0,0.0
0.0,0.6398467432950191,0.5,0.2960819109658652,0.2960819109658652,0.3333333333333333,0.3333333333333333
0.0,0.4,0.5,0.6309297535714575,0.6309297535714575,1.0,1.0
0.0,0.328125,0.0232558139534883,0.0,0.0,0.0,0.0
0.0,0.5208333333333333,0.25,0.2640681225725909,0.448643819352159,0.5,1.0
0.0,0.480603448275862,0.024390243902439,0.0,0.0,0.0,0.0
0.0,0.4396551724137931,0.024390243902439,0.0,0.0,0.0,0.0
0.0,0.325,0.0555555555555555,0.0,0.0,0.0,0.0
0.0,0.4745762711864406,0.0625,0.0,0.0,0.0,0.0
0.0,0.7349726775956285,0.2,0.1815417925373526,0.1815417925373526,0.3333333333333333,0.3333333333333333
0.0,0.3,0.25,0.430676558073393,0.430676558073393,1.0,1.0
0.0,0.5734939759036144,0.5,0.2139862647345275,0.2139862647345275,0.2,0.2
0.0,0.3604651162790697,0.0588235294117647,0.0,0.0,0.0,0.0
0.0,0.8028169014084507,0.0666666666666666,0.0,0.0,0.0,0.0
0.0,0.8823529411764706,0.3333333333333333,0.5,0.5,1.0,1.0
0.0,0.65,0.5,0.3868528072345416,0.3868528072345416,0.5,0.5
0.0,0.625,0.5,0.3868528072345416,0.3868528072345416,0.5,0.5
0.0,0.5,0.3333333333333333,0.5,0.5,1.0,1.0
0.0,0.5555555555555556,1.0,0.6713860725233041,0.8278123145308894,0.6666666666666666,1.0
0.0,0.284313725490196,0.03125,0.0,0.0,0.0,0.0
0.0,0.6054054054054053,0.3333333333333333,0.169580102636808,0.2676193884681651,0.2,0.4
0.0,0.25,0.1666666666666666,0.0,0.3956467236022118,0.0,1.0
0.0,0.536082474226804,0.0769230769230769,0.0,0.0,0.0,0.0
0.0,0.4545454545454546,0.1428571428571428,0.0,0.3333333333333333,0.0,1.0
0.0,0.6375661375661377,0.0769230769230769,0.0,0.0,0.0,0.0
0.0,0.923076923076923,0.25,0.430676558073393,0.430676558073393,1.0,1.0
0.0,0.5657894736842105,0.1428571428571428,0.0,0.1301266833307005,0.0,0.25
0.0,0.75,0.2,0.3868528072345416,0.3868528072345416,1.0,1.0
0.0,0.5384615384615384,0.0526315789473684,0.0,0.0,0.0,0.0
0.0,1.0,1.0,1.0,1.0,1.0,1.0
0.0,1.0,1.0,1.0,1.0,1.0,1.0
0.0,0.4223946784922394,0.04,0.0,0.0,0.0,0.0
0.0,0.4130434782608695,0.04,0.0,0.0,0.0,0.0
0.0,0.430188679245283,0.1666666666666666,0.0,0.1208113026994942,0.0,0.2
0.0,0.5923913043478262,0.0555555555555555,0.0,0.0,0.0,0.0
0.0,0.658682634730539,0.0526315789473684,0.0,0.0,0.0,0.0
0.0,0.5578231292517006,0.1111111111111111,0.0,0.1412669728598289,0.0,0.3333333333333333
0.0,0.28,0.0714285714285714,0.0,0.0,0.0,0.0
0.0,0.5172222222222222,0.2,0.1312050775123417,0.1635413866202963,0.1,0.2
0.0,0.6666666666666667,0.3333333333333333,0.5,0.5,1.0,1.0
0.0,0.2023809523809523,0.0125,0.0,0.0,0.0,0.0
0.0,0.8333333333333334,0.5,0.6309297535714575,0.6309297535714575,1.0,1.0
0.0,0.1857142857142857,0.0434782608695652,0.0,0.0,0.0,0.0
0.0,0.8888888888888888,1.0,0.8772153153380493,0.8772153153380493,1.0,1.0
0.0,0.4888888888888889,1.0,0.3391602052736161,0.3391602052736161,0.2,0.2
0.0,0.7796296296296297,0.3333333333333333,0.169580102636808,0.169580102636808,0.2,0.2
0.0,0.5,1.0,1.0,1.0,1.0,1.0
0.0,0.6683453237410072,0.0769230769230769,0.0,0.0,0.0,0.0
0.0,0.5597826086956521,0.125,0.0,0.0954604330894673,0.0,0.1666666666666666
0.0,0.7695652173913045,1.0,0.3391602052736161,0.4599715079731103,0.2,0.4
0.0,0.5285714285714286,0.1428571428571428,0.0,0.1301266833307005,0.0,0.25
0.0,0.5,1.0,1.0,1.0,1.0,1.0
0.0,1.0,1.0,1.0,1.0,1.0,1.0
0.0,0.3181818181818182,0.1428571428571428,0.0,0.3816216843725338,0.0,1.0
0.0,0.5584239130434783,0.5,0.2139862647345275,0.3294836243397122,0.125,0.375
0.0,0.375,0.125,0.0,0.3154648767857287,0.0,1.0
0.0,0.4418604651162791,0.0588235294117647,0.0,0.0,0.0,0.0
0.0,0.6051779935275081,0.5,0.2960819109658652,0.2960819109658652,0.3333333333333333,0.3333333333333333
0.0,0.6472868217054264,1.0,0.5087403079104241,0.4539036202482202,0.3333333333333333,0.3333333333333333
0.0,1.0,1.0,1.0,1.0,1.0,1.0
0.0,0.7694805194805194,1.0,0.4852285551163225,0.4416737339478611,0.25,0.375
0.0,0.6346153846153846,1.0,0.6131471927654584,0.6131471927654584,0.5,0.5
0.0,0.2105263157894736,0.0588235294117647,0.0,0.0,0.0,0.0
0.0,0.2821428571428571,0.2,0.1312050775123417,0.1312050775123417,0.2,0.2
0.0,0.4739010989010989,0.25,0.1460683498427064,0.2011288142606829,0.1428571428571428,0.2857142857142857
0.0,1.0,1.0,1.0,1.0,1.0,1.0
0.0,0.4252336448598132,0.125,0.0,0.123151194370365,0.0,0.25
0.0,0.9782608695652174,1.0,0.9197207891481876,0.9197207891481876,1.0,1.0
0.0,1.0,1.0,1.0,1.0,1.0,1.0
0.0,0.7271062271062271,1.0,0.4703652827859579,0.4606700933772881,0.2857142857142857,0.4285714285714285
0.0,1.0,1.0,1.0,1.0,1.0,1.0
0.0,1.0,1.0,1.0,1.0,1.0,1.0
0.0,0.550326797385621,1.0,0.4852285551163225,0.3362741576267855,0.2222222222222222,0.2222222222222222
0.0,1.0,1.0,1.0,1.0,1.0,1.0
0.0,0.5,0.2,0.3868528072345416,0.3868528072345416,1.0,1.0
0.0,0.3461538461538461,0.0555555555555555,0.0,0.0,0.0,0.0
0.0,0.1071428571428571,0.0833333333333333,0.0,0.0,0.0,0.0
0.0,0.1875,0.1666666666666666,0.0,0.3562071871080222,0.0,1.0
0.0,0.3809523809523809,0.0263157894736842,0.0,0.0,0.0,0.0
0.0,0.3333333333333333,0.0588235294117647,0.0,0.0,0.0,0.0
0.0,0.9285714285714284,1.0,0.9197207891481876,0.9197207891481876,1.0,1.0
0.0,0.36,0.0181818181818181,0.0,0.0,0.0,0.0
0.0,0.7522522522522522,0.2,0.1510196182278052,0.1510196182278052,0.25,0.25
0.0,0.9,0.5,0.6309297535714575,0.6309297535714575,1.0,1.0
0.0,0.6523364485981309,0.0714285714285714,0.0,0.0,0.0,0.0
0.0,0.8,1.0,0.8772153153380493,0.8772153153380493,1.0,1.0
0.0,0.6583333333333332,0.5,0.3868528072345416,0.3868528072345416,0.5,0.5
0.0,0.575,0.25,0.2640681225725909,0.2640681225725909,0.5,0.5
0.0,0.4537037037037037,0.0909090909090909,0.0,0.0,0.0,0.0
0.0,0.4344262295081967,0.0222222222222222,0.0,0.0,0.0,0.0
0.0,0.625,0.25,0.430676558073393,0.430676558073393,1.0,1.0
0.0,0.2857142857142857,0.1428571428571428,0.0,0.3333333333333333,0.0,1.0
0.0,0.4166666666666666,0.0454545454545454,0.0,0.0,0.0,0.0
0.0,0.7435897435897436,0.3333333333333333,0.3065735963827292,0.3065735963827292,0.5,0.5
0.0,0.125,0.25,0.430676558073393,0.430676558073393,1.0,1.0
0.0,0.7941176470588236,0.0833333333333333,0.0,0.0,0.0,0.0
0.0,0.5,0.5,0.6309297535714575,0.6309297535714575,1.0,1.0
0.0,0.5238095238095238,0.0909090909090909,0.0,0.0,0.0,0.0
0.0,0.4166666666666667,0.1428571428571428,0.0,0.3333333333333333,0.0,1.0
0.0,0.6,0.1428571428571428,0.0,0.3333333333333333,0.0,1.0
0.0,0.4444444444444444,0.0588235294117647,0.0,0.0,0.0,0.0
0.0,1.0,1.0,1.0,1.0,1.0,1.0
0.0,0.6,0.1428571428571428,0.0,0.3333333333333333,0.0,1.0
0.0,0.6777777777777778,0.5,0.2960819109658652,0.4525081529734507,0.3333333333333333,0.6666666666666666
0.0,0.325,0.0384615384615384,0.0,0.0,0.0,0.0
0.0,0.8333333333333334,0.5,0.6309297535714575,0.6309297535714575,1.0,1.0
0.0,1.0,1.0,1.0,1.0,1.0,1.0
0.0,0.9401041666666666,0.25,0.2772734273550482,0.5515034178285835,0.3333333333333333,0.8333333333333334
0.0,0.4324324324324324,0.125,0.0,0.1934264036172708,0.0,0.5
0.0,0.6615384615384615,0.25,0.2772734273550482,0.4883661149442773,0.4,0.8
0.0,0.537037037037037,0.5,0.24630238874073,0.24630238874073,0.25,0.25
0.0,0.1666666666666666,0.25,0.430676558073393,0.430676558073393,1.0,1.0
0.0,0.2307692307692307,0.0714285714285714,0.0,0.0,0.0,0.0
0.0,1.0,1.0,1.0,1.0,1.0,1.0
0.0,0.6071428571428572,1.0,0.6131471927654584,0.6131471927654584,0.5,0.5
0.0,0.4083333333333334,0.0434782608695652,0.0,0.0,0.0,0.0
0.0,0.5538461538461539,0.5,0.2960819109658652,0.2960819109658652,0.3333333333333333,0.3333333333333333
0.0,0.3214285714285714,0.05,0.0,0.0,0.0,0.0
0.0,0.52,0.125,0.0,0.1934264036172708,0.0,0.5
0.0,0.6839506172839506,0.2,0.1312050775123417,0.1312050775123417,0.2,0.2
0.0,0.6490807354116706,1.0,0.3391602052736161,0.2350455494144853,0.1111111111111111,0.1111111111111111
0.0,0.8783783783783784,1.0,0.3903800499921017,0.5078961547485289,0.25,0.5
0.0,1.0,1.0,1.0,1.0,1.0,1.0
